,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
0,sp|Q8NHM5|KDM2B_HUMAN,sp|Q9Y2K7|KDM2A_HUMAN,19,687,F611,F605,1.00,11,12
3249,sp|Q6ZS27|ZN662_HUMAN,sp|P51814|ZNF41_HUMAN,343,567,F2084,F345,1.00,x,3
3250,sp|A6NM28|ZFP92_HUMAN,sp|P51814|ZNF41_HUMAN,345,594,F2072,F345,1.00,x,x
3251,sp|Q96N20|ZN75A_HUMAN,sp|P51814|ZNF41_HUMAN,356,503,F2140,F345,1.00,x,16
3252,sp|Q63HK3|ZKSC2_HUMAN,sp|P51814|ZNF41_HUMAN,358,564,F1699,F345,1.00,x,16
3253,sp|Q5VV52|ZN691_HUMAN,sp|P51814|ZNF41_HUMAN,358,563,F1879,F345,1.00,x,1
3254,sp|Q15940|ZNF67_HUMAN,sp|P51814|ZNF41_HUMAN,359,536,F2050,F345,1.00,x,-1
3255,sp|Q9NX65|ZSC32_HUMAN,sp|P51814|ZNF41_HUMAN,361,531,F1985,F345,1.00,x,16
3256,sp|Q9NPC7|MYNN_HUMAN,sp|P51814|ZNF41_HUMAN,363,589,F1783,F345,1.00,x,3
3257,sp|P10075|GLI4_HUMAN,sp|P51814|ZNF41_HUMAN,365,559,F2049,F345,1.00,x,8
3258,sp|P17026|ZNF22_HUMAN,sp|P51814|ZNF41_HUMAN,366,508,F2075,F345,1.00,x,10
3259,sp|Q8NF99|ZN397_HUMAN,sp|P51814|ZNF41_HUMAN,376,644,F340,F345,1.00,x,18
3260,sp|Q86W11|ZSC30_HUMAN,sp|P51814|ZNF41_HUMAN,361,560,F340,F345,1.00,x,18
3261,sp|O95600|KLF8_HUMAN,sp|P51814|ZNF41_HUMAN,374,447,F3361,F345,1.00,x,x
3262,sp|O75840|KLF7_HUMAN,sp|P51814|ZNF41_HUMAN,374,447,F3488,F345,1.00,x,2
3263,sp|Q99612|KLF6_HUMAN,sp|P51814|ZNF41_HUMAN,374,447,F3491,F345,1.00,x,10
3264,sp|P17029|ZKSC1_HUMAN,sp|P51814|ZNF41_HUMAN,375,563,F2003,F345,1.00,x,7
3265,sp|Q6ZNG0|ZN620_HUMAN,sp|P51814|ZNF41_HUMAN,375,615,F2094,F345,1.00,x,3
3266,sp|Q6ZSS3|ZN621_HUMAN,sp|P51814|ZNF41_HUMAN,376,597,F2046,F345,1.00,x,3
3267,sp|P52743|ZN137_HUMAN,sp|P51814|ZNF41_HUMAN,376,559,F2106,F345,1.00,x,-1
3268,sp|Q8N782|ZN525_HUMAN,sp|P51814|ZNF41_HUMAN,382,575,F2106,F345,1.00,x,-1
3269,sp|Q9UDV7|ZN282_HUMAN,sp|P51814|ZNF41_HUMAN,380,533,F1977,F345,1.00,x,7
3270,sp|P17022|ZNF18_HUMAN,sp|P51814|ZNF41_HUMAN,393,537,F1951,F345,1.00,x,17
3271,sp|Q9Y5A6|ZSC21_HUMAN,sp|P51814|ZNF41_HUMAN,393,590,F1958,F345,1.00,x,7
3272,sp|P17041|ZNF32_HUMAN,sp|P51814|ZNF41_HUMAN,394,586,F3409,F345,1.00,x,10
3273,sp|Q86UQ0|ZN589_HUMAN,sp|P51814|ZNF41_HUMAN,401,541,F1946,F345,1.00,x,3
3274,sp|Q9H4T2|ZSC16_HUMAN,sp|P51814|ZNF41_HUMAN,619,733,F341,F345,1.00,x,6
3275,sp|Q96LW9|ZSC31_HUMAN,sp|P51814|ZNF41_HUMAN,364,536,F341,F345,1.00,x,6
3276,sp|Q3MJ62|ZSC23_HUMAN,sp|P51814|ZNF41_HUMAN,343,503,F341,F345,1.00,x,6
3277,sp|O15535|ZSC9_HUMAN,sp|P51814|ZNF41_HUMAN,449,588,F341,F345,1.00,x,6
3278,sp|P17028|ZNF24_HUMAN,sp|P51814|ZNF41_HUMAN,413,535,F342,F345,1.00,x,18
3279,sp|O14771|ZN213_HUMAN,sp|P51814|ZNF41_HUMAN,414,560,F1988,F345,1.00,x,16
3280,sp|Q6ZTB9|ZN833_HUMAN,sp|P51814|ZNF41_HUMAN,416,606,F1997,F345,1.00,x,-1
3281,sp|P0CG23|ZN853_HUMAN,sp|P51814|ZNF41_HUMAN,417,557,F2105,F345,1.00,x,7
3282,sp|Q6NSZ9|ZSC25_HUMAN,sp|P51814|ZNF41_HUMAN,423,615,F2064,F345,1.00,x,7
3283,sp|A6NGD5|ZSA5C_HUMAN,sp|P51814|ZNF41_HUMAN,424,559,F1953,F345,1.00,x,19
3284,sp|Q9BUG6|ZSA5A_HUMAN,sp|P51814|ZNF41_HUMAN,424,559,F1953,F345,1.00,x,19
3285,sp|P0CG00|ZSA5D_HUMAN,sp|P51814|ZNF41_HUMAN,424,559,F1953,F345,1.00,x,-1
3286,sp|P98182|ZN200_HUMAN,sp|P51814|ZNF41_HUMAN,425,561,F2081,F345,1.00,x,16
3287,sp|Q9BSG1|ZNF2_HUMAN,sp|P51814|ZNF41_HUMAN,432,697,F1994,F345,1.00,x,2
3288,sp|Q6ZT77|ZN826_HUMAN,sp|P51814|ZNF41_HUMAN,432,508,F2062,F345,1.00,x,-1
3289,sp|Q92670|ZN75C_HUMAN,sp|P51814|ZNF41_HUMAN,440,587,F2015,F345,1.00,x,-1
3290,sp|O60304|ZN500_HUMAN,sp|P51814|ZNF41_HUMAN,446,589,F2043,F345,1.00,x,16
3291,sp|Q9H963|ZN702_HUMAN,sp|P51814|ZNF41_HUMAN,450,575,F1954,F345,1.00,x,-1
3292,sp|Q15929|ZNF56_HUMAN,sp|P51814|ZNF41_HUMAN,486,602,F2029,F345,1.00,x,-1
3293,sp|Q8IWY8|ZSC29_HUMAN,sp|P51814|ZNF41_HUMAN,494,703,F2032,F345,1.00,x,15
3294,sp|Q8N8C0|ZN781_HUMAN,sp|P51814|ZNF41_HUMAN,499,602,F3377,F345,1.00,x,19
3295,sp|Q8N8Y5|ZFP41_HUMAN,sp|P51814|ZNF41_HUMAN,506,615,F2028,F345,1.00,x,8
3296,sp|P08047|SP1_HUMAN,sp|P51814|ZNF41_HUMAN,514,591,F3365,F345,1.00,x,12
3297,sp|Q5EBM4|ZN542_HUMAN,sp|P51814|ZNF41_HUMAN,538,602,F3478,F345,1.00,x,-1
3298,sp|Q15697|ZN174_HUMAN,sp|P51814|ZNF41_HUMAN,572,674,F2123,F345,1.00,x,16
3299,sp|Q6ZRF7|ZN818_HUMAN,sp|P51814|ZNF41_HUMAN,596,674,F2059,F345,1.00,x,-1
3300,sp|Q5JUW0|KRBX4_HUMAN,sp|P17035|ZNF28_HUMAN,1,47,F3503,F348,0.00,19,x
3301,sp|Q13401|PM2P3_HUMAN,sp|P17035|ZNF28_HUMAN,5,47,F3232,F348,0.00,19,-1
3302,sp|Q8NE65|ZN738_HUMAN,sp|P17035|ZNF28_HUMAN,5,49,F3504,F348,0.00,19,19
3303,sp|Q9BV97|ZN747_HUMAN,sp|P17035|ZNF28_HUMAN,6,62,F3227,F348,0.00,19,16
3304,sp|Q7Z2F6|ZN720_HUMAN,sp|P17035|ZNF28_HUMAN,6,59,F3231,F348,0.00,19,16
3305,sp|Q6ZQV5|ZN788_HUMAN,sp|P17035|ZNF28_HUMAN,8,49,F3229,F348,0.00,19,-1
3306,sp|Q8N8H1|ZN321_HUMAN,sp|P17035|ZNF28_HUMAN,54,205,F3555,F348,0.00,19,-1
3307,sp|Q5TYW1|ZN658_HUMAN,sp|P17035|ZNF28_HUMAN,193,718,F2147,F348,0.00,19,9
3308,sp|Q9H963|ZN702_HUMAN,sp|P17035|ZNF28_HUMAN,210,337,F1954,F348,0.00,19,-1
3309,sp|P52744|ZN138_HUMAN,sp|P17035|ZNF28_HUMAN,294,476,F1963,F348,0.00,19,7
3310,sp|Q7Z7L9|ZSCA2_HUMAN,sp|P17035|ZNF28_HUMAN,320,717,F1995,F348,0.00,19,15
3311,sp|A6NGD5|ZSA5C_HUMAN,sp|P17035|ZNF28_HUMAN,326,461,F1953,F348,0.00,19,19
3312,sp|Q9BUG6|ZSA5A_HUMAN,sp|P17035|ZNF28_HUMAN,326,461,F1953,F348,0.00,19,19
3313,sp|P0CG00|ZSA5D_HUMAN,sp|P17035|ZNF28_HUMAN,326,470,F1953,F348,0.00,19,-1
3314,sp|Q7Z398|ZN550_HUMAN,sp|P17035|ZNF28_HUMAN,343,574,F1320,F348,0.00,19,19
3315,sp|Q9H5H4|ZN768_HUMAN,sp|P17035|ZNF28_HUMAN,351,630,F1944,F348,0.00,19,16
3316,sp|O43309|ZSC12_HUMAN,sp|P17035|ZNF28_HUMAN,352,675,F1976,F348,0.00,19,6
3317,sp|Q49AA0|ZFP69_HUMAN,sp|P17035|ZNF28_HUMAN,395,657,F1940,F348,0.00,19,1
3318,sp|Q9BSG1|ZNF2_HUMAN,sp|P17035|ZNF28_HUMAN,402,683,F1994,F348,0.00,19,2
3319,sp|Q7L3S4|ZN771_HUMAN,sp|P17035|ZNF28_HUMAN,409,644,F2102,F348,0.00,19,16
3320,sp|Q6ZS27|ZN662_HUMAN,sp|P17035|ZNF28_HUMAN,423,681,F2084,F348,0.00,19,3
3321,sp|O14771|ZN213_HUMAN,sp|P17035|ZNF28_HUMAN,444,602,F1988,F348,0.00,19,16
3322,sp|Q9BSK1|ZN577_HUMAN,sp|P17035|ZNF28_HUMAN,472,713,F2087,F348,0.00,19,19
3323,sp|P52743|ZN137_HUMAN,sp|P17035|ZNF28_HUMAN,499,685,F2106,F348,0.00,19,-1
3324,sp|Q8N782|ZN525_HUMAN,sp|P17035|ZNF28_HUMAN,480,673,F2106,F348,0.00,19,-1
3325,sp|P10075|GLI4_HUMAN,sp|P17035|ZNF28_HUMAN,491,685,F2049,F348,0.00,19,8
3326,sp|P17041|ZNF32_HUMAN,sp|P17035|ZNF28_HUMAN,492,683,F3409,F348,0.00,19,10
3327,sp|Q9UDV7|ZN282_HUMAN,sp|P17035|ZNF28_HUMAN,521,659,F1977,F348,0.00,19,7
3328,sp|Q15929|ZNF56_HUMAN,sp|P17035|ZNF28_HUMAN,528,644,F2029,F348,0.00,19,-1
3329,sp|Q96GC6|ZN274_HUMAN,sp|P17035|ZNF28_HUMAN,556,714,F1966,F348,0.00,19,19
3330,sp|Q7RTV3|ZN367_HUMAN,sp|P17035|ZNF28_HUMAN,580,641,F3375,F348,0.00,19,9
3331,sp|Q8N8C0|ZN781_HUMAN,sp|P17035|ZNF28_HUMAN,591,707,F3377,F348,0.00,19,19
3332,sp|Q5EBM4|ZN542_HUMAN,sp|P17035|ZNF28_HUMAN,609,679,F3478,F348,0.00,19,-1
3333,sp|Q6ZT77|ZN826_HUMAN,sp|P17035|ZNF28_HUMAN,614,690,F2062,F348,0.00,19,-1
3334,sp|Q15697|ZN174_HUMAN,sp|P17035|ZNF28_HUMAN,623,716,F2123,F348,0.00,19,16
3335,sp|Q6ZRF7|ZN818_HUMAN,sp|P17035|ZNF28_HUMAN,666,716,F2059,F348,0.00,19,-1
3336,sp|Q8WTZ3|YS049_HUMAN,sp|Q15940|ZNF67_HUMAN,2,83,F2649,F2050,1.00,-1,-1
3337,sp|P17028|ZNF24_HUMAN,sp|Q15940|ZNF67_HUMAN,76,184,F342,F2050,1.00,-1,18
3338,sp|Q96N95|ZN396_HUMAN,sp|Q15940|ZNF67_HUMAN,99,180,F342,F2050,1.00,-1,18
3339,sp|Q9UDV6|ZN212_HUMAN,sp|Q9UDV7|ZN282_HUMAN,47,241,F3482,F1977,1.00,7,7
3340,sp|Q9ULD5|ZN777_HUMAN,sp|Q9UDV7|ZN282_HUMAN,58,283,F1925,F1977,1.00,7,7
3341,sp|Q6ZMS7|ZN783_HUMAN,sp|Q9UDV7|ZN282_HUMAN,91,287,F3223,F1977,1.00,7,7
3342,sp|Q6NUN9|ZN746_HUMAN,sp|Q9UDV7|ZN282_HUMAN,94,306,F2036,F1977,1.00,7,7
3343,sp|Q75MW2|ZN767_HUMAN,sp|Q9UDV7|ZN282_HUMAN,94,196,F3567,F1977,1.00,7,-1
3344,sp|Q16587|ZNF74_HUMAN,sp|Q9UDV7|ZN282_HUMAN,489,654,F2008,F1977,1.00,7,22
3345,sp|A0A2Z4LIS9|FXO3B_HUMAN,sp|P0CG31|Z286B_HUMAN,1,72,F2899,F345,1.00,-1,17
3346,sp|Q9UJW7|ZN229_HUMAN,sp|P0CG31|Z286B_HUMAN,163,522,F2030,F345,1.00,-1,19
3347,sp|P37275|ZEB1_HUMAN,sp|P0CG31|Z286B_HUMAN,327,401,F1945,F345,1.00,-1,10
3348,sp|O60315|ZEB2_HUMAN,sp|P0CG31|Z286B_HUMAN,355,429,F715,F345,1.00,-1,2
3349,sp|O75840|KLF7_HUMAN,sp|P0CG31|Z286B_HUMAN,358,433,F3488,F345,1.00,-1,2
3350,sp|Q99612|KLF6_HUMAN,sp|P0CG31|Z286B_HUMAN,358,433,F3491,F345,1.00,-1,10
3351,sp|Q9Y4X4|KLF12_HUMAN,sp|P0CG31|Z286B_HUMAN,360,433,F3366,F345,1.00,-1,13
3352,sp|Q8TD94|KLF14_HUMAN,sp|P0CG31|Z286B_HUMAN,360,433,F3490,F345,1.00,-1,7
3353,sp|Q6DD87|ZN787_HUMAN,sp|P0CG31|Z286B_HUMAN,382,519,F2096,F345,1.00,-1,19
3354,sp|Q6ZRF7|ZN818_HUMAN,sp|P0CG31|Z286B_HUMAN,416,463,F2059,F345,1.00,-1,-1
3355,sp|Q13401|PM2P3_HUMAN,sp|Q5TYW1|ZN658_HUMAN,1,79,F3232,F2147,1.00,9,-1
3356,sp|O60290|ZN862_HUMAN,sp|Q5TYW1|ZN658_HUMAN,5,67,F3226,F2147,1.00,9,7
3357,sp|C9JBD0|KRBX1_HUMAN,sp|Q5TYW1|ZN658_HUMAN,5,65,F3228,F2147,1.00,9,3
3358,sp|P0C7X2|ZN688_HUMAN,sp|Q5TYW1|ZN658_HUMAN,6,68,F2111,F2147,1.00,9,16
3359,sp|O14709|ZN197_HUMAN,sp|Q5TYW1|ZN658_HUMAN,408,1054,F1956,F2147,1.00,9,3
3360,sp|Q7Z7L9|ZSCA2_HUMAN,sp|Q5TYW1|ZN658_HUMAN,481,910,F1995,F2147,1.00,9,15
3361,sp|Q16587|ZNF74_HUMAN,sp|Q5TYW1|ZN658_HUMAN,486,854,F2008,F2147,1.00,9,22
3362,sp|O14771|ZN213_HUMAN,sp|Q5TYW1|ZN658_HUMAN,496,653,F1988,F2147,1.00,9,16
3363,sp|P17022|ZNF18_HUMAN,sp|Q5TYW1|ZN658_HUMAN,506,659,F1951,F2147,1.00,9,17
3364,sp|Q9UL59|ZN214_HUMAN,sp|Q5TYW1|ZN658_HUMAN,508,874,F2061,F2147,1.00,9,11
3365,sp|Q9P0L1|ZKSC7_HUMAN,sp|Q5TYW1|ZN658_HUMAN,508,880,F2074,F2147,1.00,9,3
3366,sp|Q6P9A1|ZN530_HUMAN,sp|Q5TYW1|ZN658_HUMAN,510,933,F1382,F2147,1.00,9,19
3367,sp|Q9Y5A6|ZSC21_HUMAN,sp|Q5TYW1|ZN658_HUMAN,514,711,F1958,F2147,1.00,9,7
3368,sp|Q7Z3I7|ZN572_HUMAN,sp|Q5TYW1|ZN658_HUMAN,515,888,F2000,F2147,1.00,9,8
3369,sp|Q9NQV7|PRDM9_HUMAN,sp|Q5TYW1|ZN658_HUMAN,522,886,F2002,F2147,1.00,9,5
3370,sp|Q86UD4|ZN329_HUMAN,sp|Q5TYW1|ZN658_HUMAN,523,939,F2143,F2147,1.00,9,19
3371,sp|Q9BSG1|ZNF2_HUMAN,sp|Q5TYW1|ZN658_HUMAN,541,818,F1994,F2147,1.00,9,2
3372,sp|Q8N143|BCL6B_HUMAN,sp|Q5TYW1|ZN658_HUMAN,543,678,F1805,F2147,1.00,9,17
3373,sp|Q9UDV7|ZN282_HUMAN,sp|Q5TYW1|ZN658_HUMAN,544,682,F1977,F2147,1.00,9,7
3374,sp|P17040|ZSC20_HUMAN,sp|Q5TYW1|ZN658_HUMAN,561,908,F1874,F2147,1.00,9,1
3375,sp|Q96K75|ZN514_HUMAN,sp|Q5TYW1|ZN658_HUMAN,562,824,F2139,F2147,1.00,9,2
3376,sp|O43309|ZSC12_HUMAN,sp|Q5TYW1|ZN658_HUMAN,564,863,F1976,F2147,1.00,9,6
3377,sp|Q8NCK3|ZN485_HUMAN,sp|Q5TYW1|ZN658_HUMAN,571,885,F2016,F2147,1.00,9,10
3378,sp|O14978|ZN263_HUMAN,sp|Q5TYW1|ZN658_HUMAN,576,878,F1990,F2147,1.00,9,16
3379,sp|Q6ZNH5|ZN497_HUMAN,sp|Q5TYW1|ZN658_HUMAN,576,965,F2131,F2147,1.00,9,19
3380,sp|Q6P2D0|ZFP1_HUMAN,sp|Q5TYW1|ZN658_HUMAN,580,909,F2083,F2147,1.00,9,16
3381,sp|Q6ZNG0|ZN620_HUMAN,sp|Q5TYW1|ZN658_HUMAN,580,827,F2094,F2147,1.00,9,3
3382,sp|P52736|ZN133_HUMAN,sp|Q5TYW1|ZN658_HUMAN,576,986,F2078,F2147,1.00,9,20
3383,sp|Q6P1L6|ZN343_HUMAN,sp|Q5TYW1|ZN658_HUMAN,594,932,F2078,F2147,1.00,9,20
3384,sp|Q8N782|ZN525_HUMAN,sp|Q5TYW1|ZN658_HUMAN,587,782,F2106,F2147,1.00,9,-1
3385,sp|Q96PE6|ZIM3_HUMAN,sp|Q5TYW1|ZN658_HUMAN,603,900,F1986,F2147,1.00,9,19
3386,sp|Q6ZSS3|ZN621_HUMAN,sp|Q5TYW1|ZN658_HUMAN,609,824,F2046,F2147,1.00,9,3
3387,sp|Q6ZT77|ZN826_HUMAN,sp|Q5TYW1|ZN658_HUMAN,609,685,F2062,F2147,1.00,9,-1
3388,sp|Q53GI3|ZN394_HUMAN,sp|Q5TYW1|ZN658_HUMAN,628,848,F2100,F2147,1.00,9,7
3389,sp|P21506|ZNF10_HUMAN,sp|Q5TYW1|ZN658_HUMAN,637,1022,F2098,F2147,1.00,9,12
3390,sp|Q8TC21|ZN596_HUMAN,sp|Q5TYW1|ZN658_HUMAN,649,1048,F2126,F2147,1.00,9,8
3391,sp|P49910|ZN165_HUMAN,sp|Q5TYW1|ZN658_HUMAN,663,851,F2077,F2147,1.00,9,6
3392,sp|Q8IZ26|ZNF34_HUMAN,sp|Q5TYW1|ZN658_HUMAN,673,1048,F2007,F2147,1.00,9,8
3393,sp|Q8IWY8|ZSC29_HUMAN,sp|Q5TYW1|ZN658_HUMAN,699,908,F2032,F2147,1.00,9,15
3394,sp|P17026|ZNF22_HUMAN,sp|Q5TYW1|ZN658_HUMAN,711,872,F2075,F2147,1.00,9,10
3395,sp|O95201|ZN205_HUMAN,sp|Q5TYW1|ZN658_HUMAN,713,961,F1975,F2147,1.00,9,16
3396,sp|Q6ZS27|ZN662_HUMAN,sp|Q5TYW1|ZN658_HUMAN,726,984,F2084,F2147,1.00,9,3
3397,sp|Q9H963|ZN702_HUMAN,sp|Q5TYW1|ZN658_HUMAN,739,864,F1954,F2147,1.00,9,-1
3398,sp|A6NGD5|ZSA5C_HUMAN,sp|Q5TYW1|ZN658_HUMAN,797,932,F1953,F2147,1.00,9,19
3399,sp|Q9BUG6|ZSA5A_HUMAN,sp|Q5TYW1|ZN658_HUMAN,713,848,F1953,F2147,1.00,9,19
3400,sp|Q5VV52|ZN691_HUMAN,sp|Q5TYW1|ZN658_HUMAN,759,965,F1879,F2147,1.00,9,1
3401,sp|Q8N8C0|ZN781_HUMAN,sp|Q5TYW1|ZN658_HUMAN,764,869,F3377,F2147,1.00,9,19
3402,sp|P17041|ZNF32_HUMAN,sp|Q5TYW1|ZN658_HUMAN,767,958,F3409,F2147,1.00,9,10
3403,sp|Q9H4T2|ZSC16_HUMAN,sp|Q5TYW1|ZN658_HUMAN,770,882,F341,F2147,1.00,9,6
3404,sp|Q9UNY5|ZN232_HUMAN,sp|Q5TYW1|ZN658_HUMAN,701,881,F341,F2147,1.00,9,17
3405,sp|Q96LW9|ZSC31_HUMAN,sp|Q5TYW1|ZN658_HUMAN,849,1021,F341,F2147,1.00,9,6
3406,sp|Q3MJ62|ZSC23_HUMAN,sp|Q5TYW1|ZN658_HUMAN,888,1045,F341,F2147,1.00,9,6
3407,sp|O15535|ZSC9_HUMAN,sp|Q5TYW1|ZN658_HUMAN,738,877,F341,F2147,1.00,9,6
3408,sp|P98182|ZN200_HUMAN,sp|Q5TYW1|ZN658_HUMAN,770,906,F2081,F2147,1.00,9,16
3409,sp|P17028|ZNF24_HUMAN,sp|Q5TYW1|ZN658_HUMAN,744,852,F342,F2147,1.00,9,18
3410,sp|Q96N95|ZN396_HUMAN,sp|Q5TYW1|ZN658_HUMAN,821,900,F342,F2147,1.00,9,18
3411,sp|Q96N20|ZN75A_HUMAN,sp|Q5TYW1|ZN658_HUMAN,785,932,F2140,F2147,1.00,9,16
3412,sp|P0CG23|ZN853_HUMAN,sp|Q5TYW1|ZN658_HUMAN,795,930,F2105,F2147,1.00,9,7
3413,sp|P10075|GLI4_HUMAN,sp|Q5TYW1|ZN658_HUMAN,822,1016,F2049,F2147,1.00,9,8
3414,sp|Q9NX65|ZSC32_HUMAN,sp|Q5TYW1|ZN658_HUMAN,831,1016,F1985,F2147,1.00,9,16
3415,sp|Q6ZTB9|ZN833_HUMAN,sp|Q5TYW1|ZN658_HUMAN,847,1024,F1997,F2147,1.00,9,-1
3416,sp|O60304|ZN500_HUMAN,sp|Q5TYW1|ZN658_HUMAN,876,1018,F2043,F2147,1.00,9,16
3417,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q5TYW1|ZN658_HUMAN,907,1021,F2028,F2147,1.00,9,8
3418,sp|Q15929|ZNF56_HUMAN,sp|Q5TYW1|ZN658_HUMAN,915,1031,F2029,F2147,1.00,9,-1
3419,sp|Q5EBM4|ZN542_HUMAN,sp|Q5TYW1|ZN658_HUMAN,940,1009,F3478,F2147,1.00,9,-1
3420,sp|Q6ZRF7|ZN818_HUMAN,sp|Q5TYW1|ZN658_HUMAN,969,1019,F2059,F2147,1.00,9,-1
3421,sp|Q6R2W3|SCND3_HUMAN,sp|Q15776|ZKSC8_HUMAN,11,185,F1929,F340,1.00,6,6
3422,sp|Q9GZW5|SCND2_HUMAN,sp|Q15776|ZKSC8_HUMAN,16,132,F3559,F340,1.00,6,-1
3423,sp|P57086|SCND1_HUMAN,sp|Q15776|ZKSC8_HUMAN,45,105,F3560,F340,1.00,6,20
3424,sp|Q14587|ZN268_HUMAN,sp|Q15776|ZKSC8_HUMAN,260,577,F1314,F340,1.00,6,12
3425,sp|Q5EBM4|ZN542_HUMAN,sp|Q15776|ZKSC8_HUMAN,365,449,F3478,F340,1.00,6,-1
3426,sp|O95365|ZBT7A_HUMAN,sp|Q15776|ZKSC8_HUMAN,380,477,F1776,F340,1.00,6,19
3427,sp|P37275|ZEB1_HUMAN,sp|Q15776|ZKSC8_HUMAN,406,480,F1945,F340,1.00,6,10
3428,sp|Q9H963|ZN702_HUMAN,sp|Q15776|ZKSC8_HUMAN,431,555,F1954,F340,1.00,6,-1
3429,sp|Q6ZRF7|ZN818_HUMAN,sp|Q15776|ZKSC8_HUMAN,465,515,F2059,F340,1.00,6,-1
3430,sp|Q96JS3|PGBD1_HUMAN,sp|P10073|ZSC22_HUMAN,10,127,F1870,F2056,1.00,19,6
3431,sp|Q6R2W3|SCND3_HUMAN,sp|P10073|ZSC22_HUMAN,12,133,F1929,F2056,1.00,19,6
3432,sp|Q96IT1|ZN496_HUMAN,sp|P10073|ZSC22_HUMAN,18,127,F2065,F2056,1.00,19,1
3433,sp|Q9GZW5|SCND2_HUMAN,sp|P10073|ZSC22_HUMAN,21,143,F3559,F2056,1.00,19,-1
3434,sp|Q8TBC5|ZSC18_HUMAN,sp|P10073|ZSC22_HUMAN,43,135,F2082,F2056,1.00,19,19
3435,sp|P57086|SCND1_HUMAN,sp|P10073|ZSC22_HUMAN,46,102,F3560,F2056,1.00,19,20
3436,sp|Q147U1|ZN846_HUMAN,sp|P10073|ZSC22_HUMAN,233,486,F1969,F2056,1.00,19,19
3437,sp|Q14584|ZN266_HUMAN,sp|P10073|ZSC22_HUMAN,251,486,F1969,F2056,1.00,19,19
3438,sp|P37275|ZEB1_HUMAN,sp|P10073|ZSC22_HUMAN,296,370,F1945,F2056,1.00,19,10
3439,sp|Q6ZRF7|ZN818_HUMAN,sp|P10073|ZSC22_HUMAN,329,377,F2059,F2056,1.00,19,-1
3440,sp|A6NGD5|ZSA5C_HUMAN,sp|P10073|ZSC22_HUMAN,351,486,F1953,F2056,1.00,19,19
3441,sp|Q6ZT77|ZN826_HUMAN,sp|P10073|ZSC22_HUMAN,359,435,F2062,F2056,1.00,19,-1
3442,sp|Q8NBB4|ZSCA1_HUMAN,sp|Q9NX65|ZSC32_HUMAN,10,126,F2088,F1985,1.00,16,19
3443,sp|Q96JS3|PGBD1_HUMAN,sp|Q9NX65|ZSC32_HUMAN,16,120,F1870,F1985,1.00,16,6
3444,sp|Q6R2W3|SCND3_HUMAN,sp|Q9NX65|ZSC32_HUMAN,16,150,F1929,F1985,1.00,16,6
3445,sp|Q9GZW5|SCND2_HUMAN,sp|Q9NX65|ZSC32_HUMAN,22,125,F3559,F1985,1.00,16,-1
3446,sp|Q9GZU2|PEG3_HUMAN,sp|Q9NX65|ZSC32_HUMAN,25,116,F1683,F1985,1.00,16,19
3447,sp|Q9NWS9|ZN446_HUMAN,sp|Q9NX65|ZSC32_HUMAN,32,146,F2154,F1985,1.00,16,19
3448,sp|P57086|SCND1_HUMAN,sp|Q9NX65|ZSC32_HUMAN,34,91,F3560,F1985,1.00,16,20
3449,sp|Q8IWY8|ZSC29_HUMAN,sp|Q9NX65|ZSC32_HUMAN,253,691,F2032,F1985,1.00,16,15
3450,sp|P17028|ZNF24_HUMAN,sp|Q9NX65|ZSC32_HUMAN,523,630,F342,F1985,1.00,16,18
3451,sp|Q96N95|ZN396_HUMAN,sp|Q9NX65|ZSC32_HUMAN,34,150,F342,F1985,1.00,16,18
3452,sp|Q15776|ZKSC8_HUMAN,sp|Q9NX65|ZSC32_HUMAN,482,683,F340,F1985,1.00,16,6
3453,sp|Q8NF99|ZN397_HUMAN,sp|Q9NX65|ZSC32_HUMAN,482,683,F340,F1985,1.00,16,18
3454,sp|Q86W11|ZSC30_HUMAN,sp|Q9NX65|ZSC32_HUMAN,482,686,F340,F1985,1.00,16,18
3455,sp|Q6NUN9|ZN746_HUMAN,sp|Q9NX65|ZSC32_HUMAN,522,599,F2036,F1985,1.00,16,7
3456,sp|Q6ZRF7|ZN818_HUMAN,sp|Q9NX65|ZSC32_HUMAN,526,574,F2059,F1985,1.00,16,-1
3457,sp|Q9UIH9|KLF15_HUMAN,sp|Q9NX65|ZSC32_HUMAN,582,655,F3477,F1985,1.00,16,3
3458,sp|Q96JS3|PGBD1_HUMAN,sp|O60304|ZN500_HUMAN,18,129,F1870,F2043,1.00,16,6
3459,sp|Q9GZW5|SCND2_HUMAN,sp|O60304|ZN500_HUMAN,20,136,F3559,F2043,1.00,16,-1
3460,sp|Q8TBC5|ZSC18_HUMAN,sp|O60304|ZN500_HUMAN,34,128,F2082,F2043,1.00,16,19
3461,sp|Q96IT1|ZN496_HUMAN,sp|O60304|ZN500_HUMAN,35,132,F2065,F2043,1.00,16,1
3462,sp|Q9NWS9|ZN446_HUMAN,sp|O60304|ZN500_HUMAN,40,132,F2154,F2043,1.00,16,19
3463,sp|P57086|SCND1_HUMAN,sp|O60304|ZN500_HUMAN,46,109,F3560,F2043,1.00,16,20
3464,sp|P17028|ZNF24_HUMAN,sp|O60304|ZN500_HUMAN,323,435,F342,F2043,1.00,16,18
